Id,Class
252,4
253,6
254,6
255,4
256,2
257,3
258,5
259,5
260,4
261,4
262,4
263,5
264,3
265,2
266,4
267,4
268,2
269,2
270,4
271,2
272,4
273,3
274,2
275,4
276,3
277,4
278,3
279,4
280,5
281,1
282,4
283,3
284,2
285,6
286,4
287,6
288,3
289,5
290,3
291,1
292,4
293,4
294,1
295,4
296,4
297,4
298,4
299,4
300,3
301,3
302,2
303,4
304,3
305,2
306,6
307,2
308,4
309,6
310,2
311,4
312,5
313,4
314,3
315,4
316,6
317,3
318,6
319,6
320,6
321,4
322,4
323,2
324,4
325,5
326,1
327,4
328,5
329,2
330,6
331,2
332,4
333,4
334,6
335,4
336,4
337,5
338,1
339,1
340,4
341,5
342,4
343,5
344,1
345,2
346,5
347,4
348,6
349,4
350,5
351,4
352,6
353,4
354,4
355,5
356,1
357,1
358,6
359,3
360,4
361,1
362,4
363,5
364,2
365,5
366,1
367,3
368,4
369,6
370,4
371,6
372,1
373,3
374,2
375,1
376,6
377,3
378,6
379,3
380,1
381,4
382,1
383,6
384,4
385,6
386,5
387,4
388,4
389,3
390,4
391,1
392,3
393,5
394,4
395,4
396,4
397,3
398,2
399,3
400,5
401,2
402,6
403,4
404,6
405,6
406,4
407,4
408,5
409,2
410,6
411,5
412,4
413,1
414,3
415,6
416,5
417,4
418,6
419,4
420,5
421,1
422,1
423,4
424,4
425,4
426,4
427,3
428,1
429,2
430,4
431,4
432,4
433,3
434,2
435,4
436,3
437,5
438,4
439,1
440,2
441,1
442,2
443,4
444,3
445,6
446,4
447,3
448,5
449,2
450,6
451,1
452,3
453,4
454,4
455,3
456,3
457,4
458,2
459,5
460,6
461,2
462,6
463,4
464,2
465,5
466,2
467,3
468,4
469,2
470,4
471,5
472,4
473,1
474,4
475,4
476,3
477,4
478,2
479,5
480,4
481,4
482,4
483,6
484,2
485,4
486,6
487,4
488,3
489,2
490,4
491,6
492,4
493,4
494,4
495,2
496,4
497,2
498,5
499,4
500,1
501,2
502,3
503,4
504,6
505,6
506,4
507,3
508,4
509,5
510,4
511,4
512,2
513,1
514,4
515,5
516,3
517,4
518,2
519,6
520,4
521,6
522,3
523,4
524,6
525,5
526,4
527,5
528,4
529,5
530,6
531,4
532,4
533,3
534,4
535,6
536,1
537,4
538,4
539,2
540,4
541,6
542,4
543,6
544,4
545,1
546,2
547,4
548,6
549,3
550,4
551,3
552,1
553,4
554,4
555,5
556,5
557,1
558,2
559,3
560,4
561,6
562,1
563,2
564,4
565,4
566,2
567,6
568,4
569,4
570,6
571,3
572,4
573,5
574,4
575,3
576,1
577,4
578,1
579,4
580,3
581,6
582,6
583,4
584,2
585,4
586,3
587,4
588,2
589,4
590,6
591,4
592,2
593,3
594,4
595,5
596,3
597,5
598,6
599,6
600,4
601,4
602,4
603,2
604,6
605,6
606,4
607,3
608,2
609,4
610,6
611,6
612,6
613,4
614,1
615,4
616,4
617,6
618,4
619,3
620,1
621,4
622,2
623,1
624,4
625,4
626,2
627,1
628,3
629,5
630,3
631,5
632,2
633,4
634,4
635,6
636,4
637,1
638,4
639,6
640,4
641,4
642,2
643,5
644,2
645,4
646,6
647,4
648,6
649,4
650,1
651,4
652,4
653,4
654,4
655,4
656,4
657,6
658,2
659,2
660,3
661,3
662,4
663,2
664,6
665,4
666,6
667,5
668,3
669,6
670,1
671,1
672,6
673,6
674,4
675,6
676,2
677,4
678,3
679,4
680,5
681,6
682,1
683,5
684,6
685,4
686,1
687,4
688,6
689,1
690,6
691,4
692,4
693,1
694,4
695,2
696,6
697,4
698,4
699,6
700,6
701,4
702,4
703,6
704,6
705,6
706,4
707,3
708,4
709,3
710,2
711,2
712,6
713,4
714,4
715,6
716,1
717,4
718,2
719,4
720,4
721,4
722,5
723,2
724,4
725,1
726,4
727,6
728,2
729,1
730,2
731,5
732,6
733,3
734,6
735,5
736,4
737,6
738,4
739,4
740,3
741,4
742,4
743,3
744,3
745,4
746,4
747,6
748,4
749,3
750,5
751,4
752,6
753,4
754,4
755,1
756,1
757,3
758,4
759,4
760,4
761,4
762,6
763,1
764,4
765,6
766,3
767,3
768,3
769,4
770,2
771,3
772,6
773,4
774,5
775,4
776,5
777,6
778,4
779,6
780,4
781,6
782,3
783,5
784,6
785,5
786,5
787,3
788,4
789,5
790,4
791,3
792,4
793,4
794,4
795,6
796,4
797,2
798,4
799,5
800,4
801,3
802,3
803,4
804,1
805,6
806,4
807,2
808,6
809,6
810,3
811,4
812,4
813,4
814,2
815,4
816,1
817,5
818,4
819,6
820,5
821,4
822,5
823,3
824,5
825,6
826,6
827,4
828,4
829,2
830,6
831,3
832,4
833,4
834,5
835,6
836,4
837,4
838,6
839,4
840,4
841,4
842,4
843,3
844,4
845,4
846,2
847,2
848,6
849,3
850,3
851,6
852,4
853,3
854,4
855,4
856,4
857,2
858,4
859,4
860,6
861,3
862,6
863,3
864,4
865,3
866,4
867,3
868,5
869,4
870,6
871,4
872,4
873,4
874,4
875,2
876,5
877,4
878,4
879,4
880,3
881,4
882,3
883,6
884,3
885,3
886,4
887,4
888,4
889,6
890,6
891,2
892,4
893,3
894,4
895,5
896,4
897,4
898,3
899,4
900,4
901,2
902,4
903,4
904,4
905,3
906,6
907,3
908,4
909,6
910,6
911,4
912,4
913,6
914,2
915,4
916,1
917,4
918,6
919,2
920,6
921,4
922,3
923,4
924,1
925,1
926,5
927,4
928,4
929,1
930,3
931,6
932,4
933,4
934,5
935,6
936,1
937,3
938,5
939,6
940,3
941,6
942,4
943,5
944,6
945,3
946,4
947,4
948,6
949,1
950,6
951,3
952,4
953,3
954,2
955,3
956,4
957,6
958,4
959,6
960,5
961,4
962,2
963,4
964,4
965,6
966,2
967,4
968,6
969,3
970,1
971,5
972,6
973,6
974,6
975,6
976,3
977,4
978,6
979,6
980,3
981,2
982,1
983,4
984,4
985,4
986,4
987,5
988,2
989,1
990,3
991,4
992,3
993,4
994,4
995,6
996,5
997,6
998,6
999,4
1000,3
1001,6
1002,4
1003,6
1004,6
1005,4
1006,4
1007,3
1008,3
1009,4
1010,6
1011,6
1012,4
1013,4
1014,1
1015,2
1016,2
1017,1
1018,6
1019,3
1020,6
1021,3
1022,5
1023,6
1024,4
1025,2
1026,4
1027,3
1028,4
1029,4
1030,4
1031,3
1032,4
1033,1
1034,5
1035,3
1036,4
1037,3
1038,3
1039,3
1040,5
1041,3
1042,4
1043,4
1044,1
1045,5
1046,5
1047,6
1048,4
1049,4
1050,6
1051,2
1052,4
1053,4
1054,4
1055,4
1056,1
1057,5
1058,5
1059,2
1060,1
1061,4
1062,5
1063,4
1064,4
1065,3
1066,1
1067,1
1068,3
1069,4
1070,6
1071,4
1072,2
1073,4
1074,4
1075,3
1076,5
1077,4
1078,4
1079,4
1080,1
1081,6
1082,4
1083,5
1084,3
1085,4
1086,6
1087,4
1088,6
1089,2
1090,1
1091,4
1092,4
1093,6
1094,5
1095,6
1096,4
1097,1
1098,3
1099,6
1100,4
1101,4
1102,2
1103,1
1104,6
1105,3
1106,5
1107,3
1108,4
1109,2
1110,6
1111,4
1112,1
1113,5
1114,4
1115,3
1116,6
1117,6
1118,6
1119,2
1120,5
1121,4
1122,4
1123,2
1124,4
1125,2
1126,4
1127,2
1128,3
1129,1
1130,4
1131,6
1132,5
1133,4
1134,4
1135,3
1136,6
1137,2
1138,3
1139,4
1140,2
1141,4
1142,3
1143,6
1144,2
1145,4
1146,4
1147,5
1148,3
1149,6
1150,2
1151,3
1152,6
1153,4
1154,6
1155,1
1156,4
1157,6
1158,4
1159,4
1160,6
1161,4
1162,4
1163,5
1164,2
1165,4
1166,4
1167,5
1168,4
1169,6
1170,1
1171,4
1172,3
1173,6
1174,5
1175,1
1176,4
1177,2
1178,3
1179,1
1180,3
1181,4
1182,4
1183,4
1184,4
1185,4
1186,5
1187,1
1188,4
1189,3
1190,5
1191,5
1192,6
1193,6
1194,4
1195,2
1196,2
1197,4
1198,2
1199,6
1200,3
1201,6
1202,4
1203,6
1204,4
1205,4
1206,1
1207,1
1208,3
1209,6
1210,4
1211,5
1212,1
1213,2
1214,2
1215,4
1216,4
1217,4
1218,3
1219,4
1220,1
1221,5
1222,6
1223,5
1224,4
1225,2
1226,4
1227,1
1228,3
1229,3
1230,4
1231,4
1232,1
1233,1
1234,2
1235,4
1236,4
1237,4
1238,4
1239,6
1240,4
1241,4
1242,4
1243,4
1244,5
1245,4
1246,1
1247,4
1248,4
1249,4
1250,6
1251,2
1252,4
1253,4
1254,1
1255,4
1256,3
1257,6
1258,4
1259,4
1260,4
1261,3
1262,4
1263,6
1264,6
1265,4
1266,4
1267,4
1268,4
1269,6
1270,4
1271,3
1272,6
1273,4
1274,4
1275,4
1276,6
1277,2
1278,2
1279,1
1280,4
1281,1
1282,4
1283,4
1284,2
1285,4
1286,4
1287,6
1288,5
1289,2
1290,1
1291,6
1292,3
1293,4
1294,4
1295,2
1296,5
1297,1
1298,5
1299,4
1300,4
1301,5
1302,4
1303,4
1304,4
1305,1
1306,1
1307,4
1308,4
1309,3
1310,3
1311,4
1312,2
1313,2
1314,4
1315,4
1316,4
1317,4
1318,6
1319,3
1320,1
1321,6
1322,3
1323,6
1324,1
1325,2
1326,6
1327,4
1328,3
1329,4
1330,4
1331,6
1332,6
1333,5
1334,3
1335,6
1336,4
1337,3
1338,4
1339,3
1340,4
1341,1
1342,6
1343,4
1344,4
1345,6
1346,6
1347,4
1348,6
1349,4
1350,2
1351,2
1352,3
1353,3
1354,4
1355,4
1356,5
1357,4
1358,4
1359,4
1360,4
1361,3
1362,2
1363,3
1364,6
1365,2
1366,4
1367,1
1368,4
1369,6
1370,4
1371,4
1372,3
1373,2
1374,6
1375,4
1376,5
1377,4
1378,6
1379,4
1380,4
1381,6
1382,6
1383,6
1384,6
1385,2
1386,2
1387,4
1388,4
1389,2
1390,6
1391,6
1392,1
1393,3
1394,6
1395,6
1396,6
1397,2
1398,4
1399,4
1400,4
1401,3
1402,6
1403,6
1404,2
1405,1
1406,6
1407,4
1408,3
1409,6
1410,6
1411,1
1412,3
1413,6
1414,4
1415,4
1416,3
1417,4
1418,4
1419,2
1420,6
1421,5
1422,5
1423,4
1424,1
1425,4
1426,2
1427,4
1428,4
1429,2
1430,3
1431,6
1432,4
1433,1
1434,4
1435,4
1436,2
1437,4
1438,2
1439,6
1440,4
1441,5
1442,4
1443,6
1444,6
1445,4
1446,6
1447,2
1448,4
1449,1
1450,6
1451,5
1452,6
1453,4
1454,3
1455,1
1456,4
1457,1
1458,4
1459,4
1460,4
1461,1
1462,6
1463,4
1464,3
1465,1
1466,6
1467,6
1468,6
1469,4
1470,1
1471,6
1472,6
1473,4
1474,3
1475,5
1476,4
1477,6
1478,4
1479,4
1480,4
1481,4
1482,4
1483,6
1484,6
1485,6
1486,4
1487,4
1488,4
1489,4
1490,3
1491,1
1492,6
1493,6
1494,4
1495,4
1496,5
1497,4
1498,5
1499,3
1500,4
1501,4
1502,4
1503,6
1504,3
1505,4
1506,5
1507,5
1508,4
1509,4
1510,4
1511,6
1512,4
1513,4
1514,4
1515,4
1516,4
1517,4
1518,5
1519,4
1520,1
1521,3
1522,6
1523,4
1524,3
1525,2
1526,5
1527,6
1528,4
1529,6
1530,6
1531,4
1532,6
1533,2
1534,1
1535,6
1536,4
1537,2
1538,3
1539,4
1540,5
1541,4
1542,3
1543,3
1544,3
1545,4
1546,6
1547,4
1548,3
1549,4
1550,4
1551,3
1552,3
1553,6
1554,4
1555,6
1556,6
1557,6
1558,3
1559,3
1560,5
1561,1
1562,4
1563,3
1564,2
1565,6
1566,2
1567,5
1568,6
1569,4
1570,3
1571,2
1572,4
1573,3
1574,1
1575,5
1576,5
1577,2
1578,3
1579,4
1580,4
1581,6
1582,6
1583,6
1584,6
1585,1
1586,6
1587,4
1588,6
1589,6
1590,3
1591,4
1592,5
1593,3
1594,4
1595,4
1596,5
1597,6
1598,4
1599,4
1600,5
1601,1
1602,4
1603,4
1604,6
1605,1
1606,2
1607,4
1608,4
1609,6
1610,6
1611,4
1612,5
1613,1
1614,1
1615,4
1616,4
1617,4
1618,4
1619,4
1620,6
1621,4
1622,4
1623,6
1624,3
1625,4
1626,5
1627,2
1628,2
1629,3
1630,4
1631,6
1632,6
1633,1
1634,6
1635,3
1636,4
1637,6
1638,6
1639,1
1640,4
1641,2
1642,4
1643,4
1644,3
1645,1
1646,3
1647,4
1648,4
1649,1
1650,1
1651,4
1652,4
1653,5
1654,4
1655,4
1656,6
1657,4
1658,4
1659,6
1660,1
1661,5
1662,4
1663,4
1664,4
1665,4
1666,4
1667,3
1668,6
1669,6
1670,1
1671,2
1672,2
1673,4
1674,4
1675,2
1676,6
1677,4
1678,4
1679,6
1680,4
1681,6
1682,5
1683,4
1684,1
1685,3
1686,3
1687,4
1688,4
1689,1
1690,2
1691,4
1692,5
1693,4
1694,4
1695,4
1696,2
1697,1
1698,4
1699,3
1700,1
1701,3
1702,6
1703,4
1704,4
1705,4
1706,3
1707,4
1708,3
1709,4
1710,4
1711,6
1712,4
1713,6
1714,2
1715,4
1716,2
1717,5
1718,6
1719,4
1720,4
1721,6
1722,1
1723,2
1724,4
1725,3
1726,3
1727,4
1728,6
1729,4
1730,5
1731,4
1732,3
1733,6
1734,4
1735,4
1736,1
1737,1
1738,4
1739,3
1740,3
1741,6
1742,3
1743,4
1744,3
1745,4
1746,4
1747,4
1748,3
1749,6
1750,5
1751,3
1752,5
1753,1
1754,4
1755,6
1756,2
1757,4
1758,4
1759,6
1760,6
1761,1
1762,4
1763,4
1764,1
1765,4
1766,4
1767,6
1768,3
1769,4
1770,4
1771,1
1772,4
1773,2
1774,4
1775,1
1776,4
1777,4
1778,1
1779,6
1780,6
1781,4
1782,4
1783,4
1784,4
1785,4
1786,5
1787,3
1788,4
1789,4
1790,5
1791,6
1792,4
1793,4
1794,4
1795,4
1796,4
1797,6
1798,4
1799,1
1800,4
1801,4
1802,6
1803,4
1804,6
1805,4
1806,4
1807,2
1808,3
1809,6
1810,5
1811,2
1812,2
1813,4
1814,4
1815,4
1816,5
1817,2
1818,4
1819,1
1820,6
1821,4
1822,5
1823,5
1824,4
1825,3
1826,4
1827,3
1828,1
1829,4
1830,4
1831,4
1832,6
1833,4
1834,2
1835,5
1836,3
1837,4
1838,1
1839,5
1840,4
1841,3
1842,4
1843,2
1844,4
1845,4
1846,1
1847,1
1848,5
1849,4
1850,3
1851,5
1852,6
1853,3
1854,4
1855,3
1856,4
1857,3
1858,3
1859,4
1860,4
1861,6
1862,5
1863,4
1864,6
1865,3
1866,4
1867,4
1868,6
1869,4
1870,4
1871,1
1872,6
1873,4
1874,4
1875,4
1876,6
1877,1
1878,4
1879,4
1880,3
1881,6
1882,4
1883,4
1884,2
1885,3
1886,1
1887,4
1888,4
1889,6
1890,5
1891,4
1892,3
1893,4
1894,6
1895,2
1896,2
1897,6
1898,6
1899,3
1900,2
1901,6
1902,4
1903,4
1904,1
1905,4
1906,4
1907,5
1908,6
1909,2
1910,3
1911,4
1912,4
1913,4
1914,6
1915,3
1916,5
1917,6
1918,4
1919,4
1920,4
1921,6
1922,4
1923,4
1924,4
1925,4
1926,3
1927,4
1928,4
1929,5
1930,6
1931,5
1932,3
1933,4
1934,4
1935,4
1936,4
1937,4
1938,4
1939,1
1940,4
1941,3
1942,4
1943,3
1944,4
1945,6
1946,6
1947,6
1948,4
1949,6
1950,4
1951,6
1952,6
1953,3
1954,6
1955,6
1956,4
1957,5
1958,4
1959,5
1960,4
1961,4
1962,4
1963,1
1964,3
1965,6
1966,4
1967,4
1968,3
1969,1
1970,6
1971,6
1972,4
1973,6
1974,3
1975,6
1976,4
1977,6
1978,4
1979,4
1980,4
1981,6
1982,6
1983,3
1984,4
1985,6
1986,4
1987,5
1988,4
1989,4
1990,3
1991,1
1992,4
1993,6
1994,2
1995,4
1996,6
1997,5
1998,6
1999,3
2000,6
2001,6
2002,5
2003,4
2004,4
2005,4
2006,1
2007,3
2008,6
2009,6
2010,4
2011,5
2012,4
2013,4
2014,4
2015,1
2016,6
2017,6
2018,6
2019,4
2020,4
2021,4
2022,3
2023,1
2024,4
2025,6
2026,6
2027,4
2028,5
2029,6
2030,4
2031,1
2032,5
2033,4
2034,4
2035,6
2036,2
2037,6
2038,3
2039,4
2040,6
2041,3
2042,5
2043,6
2044,6
2045,6
2046,6
2047,4
2048,4
2049,3
2050,6
2051,6
2052,4
2053,4
2054,5
2055,6
2056,4
2057,4
2058,5
2059,3
2060,4
2061,3
2062,4
2063,4
2064,6
2065,6
2066,4
2067,3
2068,4
2069,3
2070,4
2071,1
2072,4
2073,2
2074,3
2075,6
2076,4
2077,4
2078,3
2079,3
2080,1
2081,4
2082,2
2083,6
2084,4
2085,4
2086,4
2087,5
2088,6
2089,6
2090,4
2091,4
2092,1
2093,5
2094,3
2095,3
2096,2
2097,4
2098,4
2099,2
2100,6
2101,3
2102,4
2103,1
2104,4
2105,6
2106,4
2107,3
2108,6
2109,6
2110,4
2111,1
2112,4
2113,3
2114,4
2115,3
2116,4
2117,4
2118,6
2119,2
2120,4
2121,6
2122,5
2123,1
2124,6
2125,2
2126,4
2127,1
2128,4
2129,4
2130,3
2131,4
2132,6
2133,4
2134,2
2135,4
2136,1
2137,4
2138,3
2139,4
2140,4
2141,4
2142,4
2143,1
2144,6
2145,3
2146,4
2147,4
2148,5
2149,6
2150,6
2151,4
2152,3
2153,1
2154,6
2155,2
2156,4
2157,2
2158,3
2159,4
2160,1
2161,3
2162,3
2163,4
2164,6
2165,3
2166,4
2167,1
2168,6
2169,3
2170,1
2171,4
2172,6
2173,3
2174,5
2175,4
2176,6
2177,3
2178,3
2179,4
2180,4
2181,4
2182,3
2183,6
2184,4
2185,4
2186,3
2187,5
2188,1
2189,1
2190,3
2191,4
2192,6
2193,4
2194,4
2195,4
2196,4
2197,5
2198,6
2199,2
2200,4
2201,4
2202,3
2203,5
2204,6
2205,6
2206,4
2207,5
2208,4
2209,2
2210,6
2211,4
2212,6
2213,6
2214,3
2215,6
2216,1
2217,6
2218,4
2219,4
2220,6
2221,1
2222,1
2223,5
2224,4
2225,4
2226,6
2227,2
2228,4
2229,3
2230,5
2231,4
2232,6
2233,4
2234,4
2235,4
2236,6
2237,6
2238,3
2239,6
2240,2
2241,4
2242,4
2243,6
2244,3
2245,6
2246,5
2247,6
2248,2
2249,5
2250,3
2251,3
2252,4
2253,3
2254,6
2255,2
2256,3
2257,4
2258,4
2259,2
2260,1
2261,1
2262,6
2263,4
2264,3
2265,2
2266,5
2267,1
2268,3
2269,4
2270,2
2271,4
2272,1
2273,4
2274,2
2275,6
2276,1
2277,2
2278,6
2279,6
2280,1
2281,4
2282,4
2283,1
2284,4
2285,4
2286,4
2287,2
2288,4
2289,4
2290,3
2291,4
2292,4
2293,6
2294,6
2295,3
2296,6
2297,4
2298,4
2299,6
2300,4
2301,4
2302,1
2303,4
2304,3
2305,6
2306,3
2307,1
2308,4
2309,3
2310,6
2311,4
2312,4
2313,4
2314,2
2315,4
2316,4
2317,6
2318,5
2319,1
2320,4
2321,4
2322,4
2323,5
2324,6
2325,4
2326,4
2327,4
2328,4
2329,6
2330,2
2331,1
2332,1
2333,4
2334,3
2335,5
2336,4
2337,1
2338,6
2339,6
2340,3
2341,4
2342,3
2343,4
2344,1
2345,5
2346,6
2347,3
2348,6
2349,5
2350,4
2351,6
2352,4
2353,4
2354,4
2355,1
2356,3
2357,4
2358,3
2359,3
2360,6
2361,4
2362,2
2363,4
2364,1
2365,4
2366,4
2367,6
2368,6
2369,6
2370,4
2371,4
2372,1
2373,6
2374,3
2375,6
2376,4
2377,4
2378,5
2379,4
2380,6
2381,6
2382,4
2383,4
2384,6
2385,2
2386,6
2387,2
2388,5
2389,4
2390,4
2391,2
2392,5
2393,1
2394,4
2395,3
2396,2
2397,4
2398,3
2399,6
2400,4
2401,4
2402,4
2403,4
2404,2
2405,3
2406,6
2407,4
2408,4
2409,4
2410,1
2411,4
2412,4
2413,4
2414,3
2415,6
2416,4
2417,2
2418,4
2419,4
2420,3
2421,3
2422,3
2423,4
2424,1
2425,5
2426,5
2427,4
2428,4
2429,4
2430,4
2431,4
2432,6
2433,1
2434,6
2435,4
2436,4
2437,4
2438,1
2439,6
2440,3
2441,4
2442,5
2443,4
2444,3
2445,5
2446,5
2447,4
2448,6
2449,3
2450,6
2451,4
2452,4
2453,4
2454,4
2455,3
2456,4
2457,1
2458,4
2459,4
2460,4
2461,5
2462,6
2463,6
2464,1
2465,4
2466,5
2467,4
2468,6
2469,4
2470,4
2471,5
2472,2
2473,5
2474,4
2475,3
2476,6
2477,1
2478,4
2479,4
2480,3
2481,2
2482,4
2483,4
2484,4
2485,4
2486,4
2487,5
2488,3
2489,3
2490,2
2491,3
2492,4
2493,4
2494,4
2495,1
2496,2
2497,1
2498,4
2499,4
2500,4
2501,3
2502,3
2503,5
2504,3
2505,4
2506,4
2507,1
2508,6
2509,4
2510,1
2511,6
2512,6
2513,4
2514,3
2515,2
2516,3
2517,5
2518,4
2519,4
2520,2
2521,1
2522,5
2523,2
2524,2
2525,4
2526,3
2527,5
2528,3
2529,3
2530,3
2531,3
2532,6
2533,6
2534,6
2535,2
2536,4
2537,6
2538,4
2539,2
2540,4
2541,4
2542,6
2543,6
2544,3
2545,4
2546,4
2547,6
2548,5
2549,5
2550,4
2551,4
2552,6
2553,4
2554,3
2555,4
2556,5
2557,3
2558,5
2559,6
2560,6
2561,3
2562,4
2563,6
2564,3
2565,4
2566,1
2567,3
2568,6
2569,6
2570,3
2571,5
2572,4
2573,4
2574,4
2575,2
2576,1
2577,6
2578,4
2579,4
2580,6
2581,5
2582,4
2583,3
2584,1
2585,4
2586,6
2587,2
2588,2
2589,4
2590,1
2591,1
2592,6
2593,4
2594,6
2595,4
2596,2
2597,6
2598,1
2599,4
2600,4
2601,3
2602,4
2603,4
2604,6
2605,2
2606,4
2607,4
2608,4
2609,6
2610,2
2611,2
2612,3
2613,4
2614,6
2615,4
2616,4
2617,3
2618,2
2619,5
2620,4
2621,6
2622,4
2623,4
2624,2
2625,6
2626,4
2627,3
2628,1
2629,4
2630,2
2631,4
2632,6
2633,4
2634,4
2635,4
2636,2
2637,4
2638,6
2639,4
2640,4
2641,4
2642,6
2643,3
2644,4
2645,4
2646,6
2647,4
2648,4
2649,3
2650,6
2651,4
2652,4
2653,4
2654,3
2655,4
2656,4
2657,4
2658,5
2659,1
2660,3
2661,6
2662,1
2663,3
2664,4
2665,1
2666,6
2667,4
2668,1
2669,6
2670,4
2671,4
2672,3
2673,6
2674,2
2675,4
2676,3
2677,6
2678,2
2679,4
2680,2
2681,5
2682,4
2683,2
2684,6
2685,5
2686,5
2687,1
2688,6
2689,4
2690,3
2691,4
2692,3
2693,5
2694,4
2695,6
2696,4
2697,6
2698,4
2699,2
2700,4
2701,3
2702,2
2703,5
2704,6
2705,2
2706,1
2707,4
2708,1
2709,4
2710,4
2711,6
2712,3
2713,1
2714,6
2715,6
2716,4
2717,2
2718,4
2719,4
2720,5
2721,6
2722,4
2723,4
2724,4
2725,6
2726,1
2727,6
2728,6
2729,5
2730,4
2731,4
2732,1
2733,4
2734,4
2735,3
2736,4
2737,4
2738,4
2739,4
2740,5
2741,4
2742,6
2743,5
2744,5
2745,3
2746,1
2747,6
2748,6
2749,5
2750,4
2751,5
2752,4
2753,3
2754,4
2755,4
2756,3
2757,3
2758,4
2759,1
2760,4
2761,4
2762,6
2763,3
2764,6
2765,4
2766,6
2767,4
2768,3
2769,2
2770,4
2771,4
2772,3
2773,4
2774,1
2775,4
2776,5
2777,4
2778,6
2779,4
2780,4
2781,6
2782,2
2783,4
2784,1
2785,6
2786,1
2787,4
2788,1
2789,3
2790,5
2791,4
2792,5
2793,4
2794,4
2795,4
2796,6
2797,4
2798,3
2799,4
2800,4
2801,5
2802,6
2803,5
2804,4
2805,6
2806,4
2807,6
2808,4
2809,4
2810,4
2811,1
2812,4
2813,6
2814,4
2815,6
2816,5
2817,3
2818,3
2819,6
2820,1
2821,6
2822,6
2823,5
2824,5
2825,4
2826,1
2827,4
2828,5
2829,3
2830,4
2831,4
2832,6
2833,3
2834,1
2835,3
2836,5
2837,2
2838,4
2839,4
2840,6
2841,2
2842,2
2843,6
2844,4
2845,4
2846,3
2847,1
2848,6
2849,4
2850,6
2851,4
2852,4
2853,2
2854,4
2855,6
2856,4
2857,4
2858,4
2859,5
2860,3
2861,1
2862,6
2863,4
2864,6
2865,5
2866,4
2867,4
2868,4
2869,4
2870,5
2871,2
2872,4
2873,2
2874,4
2875,6
2876,1
2877,2
2878,3
2879,2
2880,1
2881,3
2882,6
2883,4
2884,5
2885,6
2886,4
2887,1
2888,4
2889,4
2890,6
2891,3
2892,6
2893,1
2894,6
2895,4
2896,2
2897,1
2898,4
2899,4
2900,6
2901,2
2902,4
2903,4
2904,2
2905,4
2906,4
2907,4
2908,2
2909,4
2910,4
2911,6
2912,1
2913,6
2914,4
2915,5
2916,3
2917,2
2918,1
2919,4
2920,4
2921,4
2922,2
2923,4
2924,5
2925,4
2926,3
2927,6
2928,4
2929,6
2930,4
2931,3
2932,5
2933,3
2934,6
2935,4
2936,1
2937,6
2938,1
2939,4
2940,5
2941,2
2942,4
2943,2
2944,6
2945,3
2946,5
2947,2
2948,4
2949,4
2950,2
2951,5
2952,4
2953,4
2954,2
2955,3
2956,4
2957,4
2958,6
2959,2
2960,4
2961,4
2962,4
2963,4
2964,2
2965,3
2966,6
2967,4
2968,5
2969,4
2970,4
2971,6
2972,4
2973,3
2974,6
2975,2
2976,4
2977,6
2978,6
2979,3
2980,4
2981,6
2982,6
2983,6
2984,4
2985,6
2986,4
2987,1
2988,6
2989,6
2990,1
2991,4
2992,2
2993,4
2994,4
2995,4
2996,1
2997,6
